Name,Tags,Property,URL,Время на чтение,Описание,Раздел
Диффузия инноваций,,Not started,,,,
Модель Кларка Фишера,"Модели, Стратегия",Not started,,,,
Матрица Росситера-Перси,CustDev,Not started,,5 минут,,CustDev
Искусство системного мышления,Принятие решений,Not started,,10 минут,,Мышление
Bard VS ChatGPT,Искусственный интеллект,Not started,,,,Инструменты
"CJM, МЕТРИКИ И ЮНИТ-ЭКОНОМИКА",CustDev,Not started,https://khanin.info/blog/128,20 минут,Классный пример CJM,"CJM, CustDev"
Ошибки стартапов,,Not started,,,,
Гайд: разобраться в юнит-экономике за один день,Unit экономика,Not started,https://vc.ru/finance/48822-gayd-razobratsya-v-yunit-ekonomike-za-odin-den,,нужно доделать,
"Как тренды влияют на желание обладать брендом и что делать, чтобы заработать на этом",Маркетинг,Not started,https://www.cossa.ru/trends/305691/,10 минут,,"Бренд, Тренды"
"5 потребительских трендов для создания сильных брендов, актуальных на ближайшие 10 лет",Маркетинг,Done,https://www.cossa.ru/trends/305764/,14 минут,Как актуальные на сегодня общественные проблемы влияют на поведение потребителей,"Бренд, Тренды"
Как создать сильный бренд на основе трендов и заработать на этом. Пошаговый разбор с примером,Маркетинг,Not started,https://www.cossa.ru/trends/305776/,10 минут,Пошаговый разбор с примером,Бренд
Глубинное интервью: ЧТО и ЗАЧЕМ,CX,Not started,,,,
Внешние эксперты или человек в команде,CX,Not started,https://t.me/CXpodvalchick,,что делать с исследованиями - отдавать на аутсорс или проводить внутри силами продактов.,
Креативное комьюнити: блог,CX,Not started,https://medium.com/creative-community,,о понимании и проектировании клиентского опыта,
"Командные брифинги ",Управление командой,Not started,https://www.mindtools.com/community/pages/article/newTMM_42__en__.php,10 минут,Эффективный обмен организационной информацией,Повышение эффективности команды
Цифровые прорывы,Стратегия,Not started,,20 минут,,
5 почему,Решение проблем,Not started,https://www.mindtools.com/community/pages/article/newTMC_5W.php,10 минут,Быстро добраться до корня проблемы,Инструменты
