Name,Property,Tags,URL,Время на чтение,Описание,Раздел
Ошибки стартапов,Not started,,,,,
,Not started,,,,,
Управление знаниями,Not started,Навыки обучения,https://www.mindtools.com/community/pages/article/newISS_87__ru__.php,7 минут,Максимальное использование интеллектуальных активов,Формирование среды обучения
10 распространенных ошибок лидерства и менеджмента,Not started,📯Лидерство,https://www.mindtools.com/community/pages/article/leadership-mistakes.php,,"Опыт — это имя, которое каждый дает своим ошибкам.- Оскар Уальд",
Развитие коммерческой осведомленности,Not started,,https://www.mindtools.com/community/pages/article/developing-commercial-awareness.php,10 минут,"Понимание того, как бизнес зарабатывает деньги",Общие профессиональные навыки
Цикл планирования,Not started,Проектное управление,,,Процесс планирования для средних проектов,
"CJM, МЕТРИКИ И ЮНИТ-ЭКОНОМИКА",Not started,CustDev,https://khanin.info/blog/128,20 минут,Классный пример CJM,"CJM, CustDev"
15 способов зарабатывать больше на своей известности,Not started,Коммуникативные навыки,https://t.me/s/tyzhexpert,,,
Внешние эксперты или человек в команде,Not started,CX,https://t.me/CXpodvalchick,,что делать с исследованиями - отдавать на аутсорс или проводить внутри силами продактов.,
CJM,Not started,CustDev,,,,"CJM, CustDev"
Как написать краткое описание дизайна,Not started,Проектное управление,,,Хорошее начало вашего дизайн-проекта,
Модель DiSC®,Done,Управление командой,https://www.mindtools.com/community/pages/article/newCDV_92.php,7 минут,Понимание личных стилей людей,Карьерные тесты
Анализ расхождений,Not started,Проектное управление,,,Достижение своего идеального будущего состояния,
Планы действий,Not started,Проектное управление,https://www.mindtools.com/community/pages/article/newHTE_04__ru__.php,5 минут,Мелкомасштабное планирование,Планирование
Цифровые прорывы,Not started,Стратегия,,20 минут,,
Почему инфографика так эффективна?,Not started,Коммуникативные навыки,,,,Визуальное мышление
Структура конкурирующих ценностей,Done,,https://www.mindtools.com/community/pages/article/newSTR_55.php,12 минут,Анализ корпоративной культуры,Понимание культуры
Анализ заинтересованных сторон,Done,Проектное управление,https://www.mindtools.com/community/pages/article/newPPM_07.php,15 минут,Поддержка ваших проектов,Коммуникация и делегирование
"Командные брифинги ",Not started,Управление командой,https://www.mindtools.com/community/pages/article/newTMM_42__en__.php,10 минут,Эффективный обмен организационной информацией,Повышение эффективности команды
Решение конфликта,Not started,📯Лидерство,,,8 способов разрешить конфликт на рабочем месте,
Железный треугольник управления проектами,Not started,Проектное управление,https://www.mindtools.com/community/pages/article/newPPM_54.php,10 минут,"Баланс вашего бюджета, объема и графика
(Также известный как тройные ограничения управления проектами)",
"5 потребительских трендов для создания сильных брендов, актуальных на ближайшие 10 лет",Done,Маркетинг,https://www.cossa.ru/trends/305764/,14 минут,Как актуальные на сегодня общественные проблемы влияют на поведение потребителей,"Бренд, Тренды"
Программный менеджмент,Not started,Проектное управление,https://www.mindtools.com/community/pages/article/newPPM_55__ru__.php,10 минут,Структурирование проектов как части программы,
Исследование развития маркетинговой аналитики в СНГ,Not started,,,,,
Документы по инициированию проекта,Not started,,,,Хорошее начало вашего проекта,
Управление конференциями и мероприятиями,Not started,,,,,
Культурная сеть,Not started,,https://www.mindtools.com/community/pages/article/newSTR_90.php,10 минут,Согласование культуры вашей организации со стратегией,Понимание культуры
Фазы и процессы управления проектом,Not started,Проектное управление,https://www.mindtools.com/community/pages/article/newPPM_63.php,12 минут,Структурирование вашего проекта,
Как создать сильный бренд на основе трендов и заработать на этом. Пошаговый разбор с примером,Not started,Маркетинг,https://www.cossa.ru/trends/305776/,10 минут,Пошаговый разбор с примером,Бренд
Гибкое управление проектами,Not started,Проектное управление,https://www.mindtools.com/community/pages/article/agile-project-management__ru__.php,10 минут,Организация гибких проектов,
"Как тренды влияют на желание обладать брендом и что делать, чтобы заработать на этом",Not started,Маркетинг,https://www.cossa.ru/trends/305691/,10 минут,,"Бренд, Тренды"
